# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
音乐,音樂,yīn yuè,music,我喜欢一边骑自行车一边听音乐,我喜歡一邊騎自行車一邊聽音樂,wǒ xǐ huan yì biān qí zì xíng chē yì biān tīng yīn yuè,I Like to Ride My Bicycle While Listening to Music
晴天,晴天,qíng tiān,"clear sky
sunny day",我现在很关心周末的天气，希望是晴天。,我現在很關心週末的天氣，希望是晴天。,wǒ xiàn zài hěn guān xīn zhōu mò de tiān qì ， xī wàng shì qíng tiān 。,"Right now, I’m very concerned about the weather this weekend. I hope it will be sunny."
周末,週末,zhōu mò,weekend,这个周末我要跟小北去公园骑自行车。,這個週末我要跟小北去公園騎自行車。,zhè ge zhōu mò wǒ yào gēn xiǎo běi qù gōng yuán qí zì xíng chē 。,This weekend I’m going to the park to ride bikes with Xiaobei.
叔叔,叔叔,shū shu,"uncle
father’s younger brother
(a form of address used by a child for any young man one generation older)",妈妈：张叔叔、高叔叔、李叔叔和谢阿姨，他们都喜欢你买的面包。,媽媽：張叔叔、高叔叔、李叔叔和謝阿姨，他們都喜歡你買的麵包。,mā ma ： zhāng shū shu 、 gāo shū shu 、 lǐ shū shu hé xiè ā yí ， tā men dōu xǐ huan nǐ mǎi de miàn bāo 。,"Mom: Uncle Zhang, Uncle Gao, Uncle Li, and Auntie Xie. They all like the bread that you buy."
拿走,拿走,ná zǒu,to take away,妈妈：需要需要，昨天的面包我一到办公室就被同事拿走了。,媽媽：需要需要，昨天的麵包我一到辦公室就被同事拿走了。,mā ma ： xū yào xū yào ， zuó tiān de miàn bāo wǒ yí dào bàn gōng shì jiù bèi tóng shì ná zǒu le 。,"Mom: Yes, yes. Yesterday’s bread was all taken by my coworkers as soon as I got to the office."
吃,吃,chī,to eat,对了，晚上你回家经过面包店时多买几个面包，我的同事想吃。,對了，晚上你回家經過麵包店時多買幾個麵包，我的同事想吃。,duì le ， wǎn shang nǐ huí jiā jīng guò miàn bāo diàn shí duō mǎi jǐ ge miàn bāo ， wǒ de tóng shì xiǎng chī 。,"By the way, when you pass by the bakery on your way home tonight, buy a few more loaves of bread. My coworkers want some."
面包店,麵包店,miàn bāo diàn,bakery,对了，晚上你回家经过面包店时多买几个面包，我的同事想吃。,對了，晚上你回家經過麵包店時多買幾個麵包，我的同事想吃。,duì le ， wǎn shang nǐ huí jiā jīng guò miàn bāo diàn shí duō mǎi jǐ ge miàn bāo ， wǒ de tóng shì xiǎng chī 。,"By the way, when you pass by the bakery on your way home tonight, buy a few more loaves of bread. My coworkers want some."
对了,對了,duì le,"Oh, that's right, ... (when one suddenly remembers sth one wanted to mention)
Oh, by the way, ...",对了，晚上你回家经过面包店时多买几个面包，我的同事想吃。,對了，晚上你回家經過麵包店時多買幾個麵包，我的同事想吃。,duì le ， wǎn shang nǐ huí jiā jīng guò miàn bāo diàn shí duō mǎi jǐ ge miàn bāo ， wǒ de tóng shì xiǎng chī 。,"By the way, when you pass by the bakery on your way home tonight, buy a few more loaves of bread. My coworkers want some."
没办法,沒辦法,méi bàn fǎ,"(colloquial) have no solution
have no way out",小北：那没办法了。您还是去医院好好工作吧。,小北：那沒辦法了。您還是去醫院好好工作吧。,xiǎo běi ： nà méi bàn fǎ le 。 nín hái shi qù yī yuàn hǎo hǎo gōng zuò ba 。,Xiaobei: Then there’s nothing that can be done. You’d better go to the hospital and focus on your work.
一共,一共,yí gòng,altogether,妈妈：上午有一个，下午有两个，一共三个会议。三个会议都很重要。,媽媽：上午有一個，下午有兩個，一共三個會議。三個會議都很重要。,mā ma ： shàng wǔ yǒu yí ge ， xià wǔ yǒu liǎng ge ， yí gòng sān ge huì yì 。 sān ge huì yì dōu hěn zhòng yào 。,Mom: I have one in the morning and two in the afternoon—three meetings in total. All three meetings are very important.
会议,會議,huì yì,"meeting
conference",小北：会议是在上午还是下午？Anne是下午比赛。,小北：會議是在上午還是下午？Anne是下午比賽。,xiǎo běi ： huì yì shì zài shàng wǔ hái shi xià wǔ ？ Anne shì xià wǔ bǐ sài 。,Xiaobei: Are the meetings in the morning or in the afternoon? Anne is competing in the afternoon.
几乎,幾乎,jī hū,"almost
nearly
practically",Anne：我明白。为了比赛，你几乎每天都练习说中文，非常努力。,Anne：我明白。為了比賽，你幾乎每天都練習說中文，非常努力。,Anne ： wǒ míng bai 。 wèi le bǐ sài ， nǐ jī hū měi tiān dōu liàn xí shuō zhōng wén ， fēi cháng nǔ lì 。,"Anne: I understand. For the competition, you’ve been practicing speaking Chinese almost every day. You’ve worked very hard."
关心,關心,guān xīn,"to care for sth
concerned",高天：谢谢你这么关心我。不用为我担心，我自己能回家。我就是有点儿难过。,高天：謝謝你這麼關心我。不用為我擔心，我自己能回家。我就是有點兒難過。,gāo tiān ： xiè xie nǐ zhè me guān xīn wǒ 。 bú yòng wèi wǒ dān xīn ， wǒ zì jǐ néng huí jiā 。 wǒ jiù shì yǒu diǎn'r nán guò 。,"Gao Tian: Thank you for caring about me. Don’t worry about me, I can get home by myself. I’m just feeling a bit sad."
帮忙,幫忙,bāng máng,"to help
to lend a hand
to do a favor",Anne：你自己一个人能回家吗？需不需要帮忙？我去医院接你吧！,Anne：你自己一個人能回家嗎？需不需要幫忙？我去醫院接你吧！,Anne ： nǐ zì jǐ yí ge rén néng huí jiā ma ？ xū bù xū yào bāng máng ？ wǒ qù yī yuàn jiē nǐ ba ！,Anne: Can you go home by yourself? Do you need any help? Let me go pick you up at the hospital!
需,需,xū,"to require
to need",Anne：你自己一个人能回家吗？需不需要帮忙？我去医院接你吧！,Anne：你自己一個人能回家嗎？需不需要幫忙？我去醫院接你吧！,Anne ： nǐ zì jǐ yí ge rén néng huí jiā ma ？ xū bù xū yào bāng máng ？ wǒ qù yī yuàn jiē nǐ ba ！,Anne: Can you go home by yourself? Do you need any help? Let me go pick you up at the hospital!
准备,準備,zhǔn bèi,"to prepare
to get ready",高天：除了头疼，鼻子也不舒服。有点儿发烧。现在我准备回家了。,高天：除了頭疼，鼻子也不舒服。有點兒發燒。現在我準備回家了。,gāo tiān ： chú le tóu téng ， bí zi yě bù shū fu 。 yǒu diǎn'r fā shāo 。 xiàn zài wǒ zhǔn bèi huí jiā le 。,"Gao Tian: Besides the headache, my nose also feels uncomfortable. I have a slight fever. Now I’m going to go home."
不舒服,不舒服,bù shū fu,"unwell
feeling ill
to feel uncomfortable",Anne：除了头疼，还有哪儿不舒服？你发烧了吗？,Anne：除了頭疼，還有哪兒不舒服？你發燒了嗎？,Anne ： chú le tóu téng ， hái yǒu nǎ'r bù shū fu ？ nǐ fā shāo le ma ？,"Anne: Besides your headache, is there anywhere else you don’t feel well? Do you have a fever?”"
头疼,頭疼,tóu téng,to have a headache,Anne：除了头疼，还有哪儿不舒服？你发烧了吗？,Anne：除了頭疼，還有哪兒不舒服？你發燒了嗎？,Anne ： chú le tóu téng ， hái yǒu nǎ'r bù shū fu ？ nǐ fā shāo le ma ？,"Anne: Besides your headache, is there anywhere else you don’t feel well? Do you have a fever?”"
刚才,剛才,gāng cái,"just now
a moment ago",刚才医生给了我药，要求我在家好好休息。,剛才醫生給了我藥，要求我在家好好休息。,gāng cái yī shēng gěi le wǒ yào ， yāo qiú wǒ zài jiā hǎo hǎo xiū xi 。,The doctor just gave me some medicine and told me to rest at home.
明天,明天,míng tiān,"tomorrow
(figurative) the near future",高天：Anne，对不起，明天我不能参加比赛了。,高天：Anne，對不起，明天我不能參加比賽了。,gāo tiān ： Anne ， duì bu qǐ ， míng tiān wǒ bù néng cān jiā bǐ sài le 。,"Gao Tian: Anne, I’m sorry, I can no longer compete tomorrow."
感冒,感冒,gǎn mào,"to catch cold
(common) cold",我感冒了,我感冒了,wǒ gǎn mào le,I Have a Cold
踢腿,踢腿,tī tuǐ,to kick,她在武馆里面跟着大家一起踢腿，向后，再踢腿……,她在武館裡面跟著大家一起踢腿，向後，再踢腿……,tā zài wǔ guǎn lǐ miàn gēn zhe dà jiā yì qǐ tī tuǐ ， xiàng hòu ， zài tī tuǐ … …,"She was kicking her leg, stepping back, and then kicking again with everyone else in the martial arts school …"
学生,學生,xué sheng,student,还有街中心的那个武馆，里面有了越来越多的女学生。,還有街中心的那個武館，裡面有了越來越多的女學生。,hái yǒu jiē zhōng xīn de nà ge wǔ guǎn ， lǐ miàn yǒu le yuè lái yuè duō de nǚ xué sheng 。,And the martial arts school in the center of the town had more and more female students.
了不起,了不起,liǎo bu qǐ,"amazing
terrific
extraordinary",“木兰真了不起！”大家一起说。,“木蘭真了不起！”大家一起說。,“ mù lán zhēn liǎo bu qǐ ！ ” dà jiā yì qǐ shuō 。,“Mulan is truly amazing!” everyone said together.
中心,中心,zhōng xīn,"center
core",一个星期后的一天，木兰出门向街中心走去。,一個星期後的一天，木蘭出門向街中心走去。,yí ge xīng qī hòu de yì tiān ， mù lán chū mén xiàng jiē zhōng xīn zǒu qù 。,"One day, a week later, Mulan went out and walked toward the center of the town."
那么,那麼,nà me,"like that
so",谁上去呢？大家你看看我，我看看你。树那么高，他们都有点儿害怕。,誰上去呢？大家你看看我，我看看你。樹那麼高，他們都有點兒害怕。,shéi shàng qù ne ？ dà jiā nǐ kàn kan wǒ ， wǒ kàn kan nǐ 。 shù nà me gāo ， tā men dōu yǒu diǎn'r hài pà 。,Who will go up? Everyone looked at each other. The tree was so tall. They were all a little scared.
再次,再次,zài cì,"one more time
again",突然，木兰大叫了一声，再次冲到了战场的最前面。,突然，木蘭大叫了一聲，再次衝到了戰場的最前面。,tū rán ， mù lán dà jiào le yì shēng ， zài cì chōng dào le zhàn chǎng de zuì qián miàn 。,"Suddenly, Mulan let out a loud cry and rushed to the front of the battlefield once again."
战争,戰爭,zhàn zhēng,"war
conflict",十二、战争结束了,十二、戰爭結束了,shí èr 、 zhàn zhēng jié shù le,(12) The War Is Over
士兵,士兵,shì bīng,soldier,战场上，鼓声、士兵的叫声，一直在木兰的耳边响起，,戰場上，鼓聲、士兵的叫聲，一直在木蘭的耳邊響起，,zhàn chǎng shang ， gǔ shēng 、 shì bīng de jiào shēng ， yì zhí zài mù lán de ěr biān xiǎng qǐ ，,"On the battlefield, the sound of drums and the cries of soldiers constantly echoed in Mulan’s ears."
血,血,xiě,"blood
officially pr. xuè",他们终于到了战场，在这个地方，木兰第一次看到了红色的雪地，那红色是士兵们的血。,他們終於到了戰場，在這個地方，木蘭第一次看到了紅色的雪地，那紅色是士兵們的血。,tā men zhōng yú dào le zhàn chǎng ， zài zhè ge dì fang ， mù lán dì yī cì kàn dào le hóng sè de xuě dì ， nà hóng sè shì shì bīng men de xiě 。,"They finally reached the battlefield. In this place, Mulan saw a red snowfield for the first time. The red was the blood of the soldiers."
照,照,zhào,"to shine
to illuminate",大家的脸被火照得红红的，他们的眼睛热热的。,大家的臉被火照得紅紅的，他們的眼睛熱熱的。,dà jiā de liǎn bèi huǒ zhào de hóng hóng de ， tā men de yǎn jing rè rè de 。,"Everyone’s faces glowed red from the fire, and their eyes were warm."
多么,多麼,duō me,"how (wonderful etc)
what (a great idea etc)
to what extent",因为大家都很清楚，时间是多么的重要！他们越快到战场，就可以越早保护国家。,因為大家都很清楚，時間是多麼的重要！他們越快到戰場，就可以越早保護國家。,yīn wèi dà jiā dōu hěn qīng chu ， shí jiān shì duō me de zhòng yào ！ tā men yuè kuài dào zhàn chǎng ， jiù kě yǐ yuè zǎo bǎo hù guó jiā 。,"Everyone knew just how crucial time was! The sooner they reached the battlefield, the earlier they could protect the country."
出发,出發,chū fā,"to start out
to set off",军队出发了，他们一路向北。,軍隊出發了，他們一路向北。,jūn duì chū fā le ， tā men yí lù xiàng běi 。,"The army set off, heading steadily northward."
认真,認真,rèn zhēn,"conscientious
earnest
serious",我希望你能做得更好，因为你有这样的能力。”季将军认真地说道。,我希望你能做得更好，因為你有這樣的能力。”季將軍認真地說道。,wǒ xī wàng nǐ néng zuò de gèng hǎo ， yīn wèi nǐ yǒu zhè yàng de néng lì 。 ” jì jiāng jūn rèn zhēn de shuō dào 。,"I hope you can do even better because you have the ability,” General Ji said seriously."
个人,個人,gè rén,"individual
personal
oneself",“以前的练习都在注重你们的个人能力。,“以前的練習都在注重你們的個人能力。,“ yǐ qián de liàn xí dōu zài zhù zhòng nǐ men de gè rén néng lì 。,“Previous training focused on your individual abilities.
特点,特點,tè diǎn,"characteristic (feature)
trait
feature",你很聪明，脑子快，这才是你的特点。,你很聰明，腦子快，這才是你的特點。,nǐ hěn cōng ming ， nǎo zi kuài ， zhè cái shì nǐ de tè diǎn 。,You’re very smart and quick-witted. That’s what sets you apart.
球门,球門,qiú mén,goal,用手里的长木杆把球打进球门。,用手裡的長木桿把球打進球門。,yòng shǒu lǐ de cháng mù gān bǎ qiú dǎ jìn qiú mén 。,.. use the long wooden stick in their hands to hit the ball into the goal.
